Movie Name,Director ,Year,Jump Count,Jump scare Rating ,Netflix (US),IMDB
Jigsaw,"Michael Spierig, Peter Spierig",2017,7,2,No,5.8
Joy Ride,John Dahl,2001,2,0.5,No,6.6
Julia's Eyes,Guillem Morales,2010,7,2,No,6.7
Jurassic Park,Steven Spielberg,1993,9,2.5,No,8.1
Jurassic World,Colin Trevorrow,2015,5,2,No,7
Jurassic World: Fallen Kingdom,J.A. Bayona,2018,7,2,No,6.2
Kill List,Ben Wheatley,2011,1,0.5,No,6.4
Knock Knock,Eli Roth,2015,2,0.5,No,4.9
Krampus,Michael Dougherty,2015,10,2,No,6.1
Lake Mungo,Joel Anderson,2008,1,0.5,No,6.2
Lake Placid,Steve Miner,1999,11,2.5,No,5.7
"Last Exorcism, The",Daniel Stamm,2010,7,2,No,5.6
"Last House on the Left, The",Dennis Iliadis,2009,4,0.5,No,6.5
Last Shift,Anthony DiBlasi,2014,17,4,No,5.8
Leatherface,"Alexandre Bustillo, Julien Maury",2017,13,3,No,5
Let Me In,Matt Reeves,2010,3,0.5,No,7.1
Let The Right One In,Tomas Alfredson,2008,2,0.5,No,7.9
Let Us Prey,Brian O’Malley,2014,7,3,No,5.7
Life,Daniel Espinosa,2017,8,2,No,6.6
Lights Out,David F. Sandberg,2016,19,4.5,No,6.3
Little Evil,Eli Craig,2017,7,1.5,Yes,5.7
Ma,Tate Taylor,2019,3,1,No,5.7
Maggie,Henry Hobson,2015,4,0.5,No,5.6
Malevolent,Olaf de Fleur Johannesson,2018,8,3,Yes,4.7
Malice,Harold Becker,1993,3,1,No,6.4
Mama,Andrés Muschietti,2013,13,3.5,No,6.2
Mandy,Panos Cosmatos,2018,5,1.5,No,6.6
Marrowbone,Sergio G. Sánchez,2017,5,2.5,No,6.6
Martyrs,Pascal Laugier,2008,15,3,No,7.1
May,Lucky McKee,2002,0,0,No,6.6
Mayhem,Joe Lynch,2017,2,0.5,No,6.3
Megan Is Missing,Michael Goi,2011,1,0.5,No,4.7
"Messengers, The","Danny Pang, Oxide Chun Pang",2007,27,4.5,No,5.4
"Midnight Meat Train, The",Ryûhei Kitamura,2008,1,0.5,No,6.1
Midsommar,Ari Aster,2019,3,1,No,7.4
Mirrors,Alexandre Aja,2008,15,4,No,6.1
Misery,Rob Reiner,1990,3,0.5,No,7.8
"Mist, The",Frank Darabont,2007,5,1,No,7.1
Mom and Dad,Brian Taylor,2017,5,1.5,No,5.5
Morgan,Luke Scott,2016,3,0.5,No,5.8
Mother!,Darren Aronofsky,2017,7,2,No,6.6
"Mothman Prophecies, The",Mark Pellington,2002,4,1,No,6.4
Mulholland Drive,David Lynch,2001,1,1,No,7.9
My Bloody Valentine,George Mihalka,1981,11,2.5,No,6.2
My Friend Dahmer,Marc Meyers,2017,0,0,No,6.2
Nerve,"Henry Joost, Ariel Schulman",2016,1,0.5,No,6.5
"Nightmare on Elm Street 2: Freddy's Revenge, A",Jack Sholder,1985,8,2,No,5.5
"Nightmare on Elm Street 3: Dream Warriors, A",Chuck Russell,1987,11,2.5,No,6.6
"Nightmare on Elm Street, A",Wes Craven,1984,11,2.5,No,7.5
"Nightmare on Elm Street, A",Samuel Bayer,2010,15,3,No,5.2
"Ninth Gate, The",Roman Polanski,1999,0,0,No,6.7
Nocturnal Animals,Tom Ford,2016,1,1,No,7.5
Noroi: The Curse,Kôji Shiraishi,2005,4,1,No,7
"Number 23, The",Joel Schumacher,2007,3,0.5,No,6.4
Oculus,Mike Flanagan,2013,14,3.5,No,6.5
Odd Thomas,Stephen Sommers,2013,10,3,No,6.8
"Omen, The",Richard Donner,1976,1,0.5,No,7.5
One Hour Photo,Mark Romanek,2002,1,0.5,No,6.8
One Missed Call,Eric Valette,2008,15,3.5,No,4
Only Lovers Left Alive,Jim Jarmusch,2013,0,0,No,7.3
Orphan,Jaume Collet-Serra,2009,12,3,No,6.9
"Orphanage, The",J.A. Bayona,2007,6,1.5,No,7.4
"Others, The",Alejandro Amenábar,2001,4,2,No,7.6
Ouija,Stiles White,2014,16,4,No,4.5
Ouija: Origin of Evil,Mike Flanagan,2016,18,4,No,6.1
Overlord,Julius Avery,2018,12,2.5,No,6.7
P2,Franck Khalfoun,2007,16,4,No,5.9
"Pact, The",Nicholas McCarthy,2012,12,3,No,5.8
Pan's Labyrinth,Guillermo del Toro,2006,6,1.5,No,8.2
Pandorum,Christian Alvart,2009,13,4,Yes,6.7
Paranormal Activity,Oren Peli,2007,10,3.5,No,6.3
Paranormal Activity 2,Tod Williams,2010,14,3.5,No,5.6
Paranormal Activity 3,"Henry Joost, Ariel Schulman",2011,20,4,No,5.8
Paranormal Activity 4,"Henry Joost, Ariel Schulman",2012,21,4,No,4.6
Paranormal Activity: The Ghost Dimension,Gregory Plotkin,2015,29,4,No,4.6
Patient Zero,Stefan Ruzowitzky,2018,6,1.5,No,4.4
Pay The Ghost,Uli Edel,2015,13,3,No,5.2
"People Under the Stairs, The",Wes Craven,1991,13,3,No,6.4
Personal Shopper,Olivier Assayas,2016,4,0.5,No,6.1
Pet,Carles Torrens,2016,2,1,No,5.7
Pet Sematary,Mary Lambert,1989,13,3.5,No,6.6
Planet Terror,Robert Rodriguez,2007,14,2.5,No,7.1
Poltergeist,Tobe Hooper,1982,9,1,Yes,7.3
Pontypool,Bruce McDonald,2008,1,0.5,No,6.6
Predator,John McTiernan,1987,7,2,No,7.8
Prevenge,Alice Lowe,2016,0,0.5,No,5.9
Pride and Prejudice and Zombies,Burr Steers,2016,7,2,No,5.8
Prince of Darkness,John Carpenter,1987,7,2.5,No,6.7
Prometheus,Ridley Scott,2012,7,1.5,No,7
Psycho,Alfred Hitchcock,1960,2,0.5,No,8.5
"Purge, The",James DeMonaco,2013,12,3,No,5.7
"Purge: Anarchy, The",James DeMonaco,2014,13,3,No,6.4
Quarantine,John Erick Dowdle,2008,14,3.5,No,6
Ravenous,Antonia Bird,1999,4,1,No,7
Raw,Julia Ducournau,2016,3,1,Yes,7
Re-Animator,Stuart Gordon,1985,4,1,No,7.2
Ready or Not,"Matt Bettinelli-Olpin, Tyler Gillett",2019,10,3,No,6.9
Red Dragon,Brett Ratner,2002,6,2,No,7.2
Regression,Alejandro Amenábar,2015,3,1,No,5.7
Repulsion,Roman Polanski,1965,7,2.5,No,7.7
Resident Evil,Paul W.S. Anderson,2002,7,2.5,No,6.7
Resident Evil: The Final Chapter,Paul W.S. Anderson,2016,29,4.5,No,5.5
Resolution,"Justin Benson, Aaron Moorhead",2012,2,0.5,No,6.3
Restoration,Zack Ward,2016,10,3,No,4
"Return of the Living Dead, The",Dan O'Bannon,1985,1,0.5,No,7.3
Ring (Ringu),Hideo Nakata,1998,5,2,No,7.3
"Ring Two, The",Hideo Nakata,2005,11,3,No,5.4
"Ring, The",Gore Verbinski,2002,9,2.5,No,7.1
Rings,F. Javier Gutiérrez,2017,19,3.5,No,4.5
Rosemary's Baby,Roman Polanski,1968,0,0,No,8
"Sacrament, The",Ti West,2013,2,0.5,No,6.1
Saw,James Wan,2004,5,2,No,7.6
Saw II,Darren Lynn Bousman,2005,5,1,No,6.6
Saw III,Darren Lynn Bousman,2006,5,1.5,No,6.2
Saw IV,Darren Lynn Bousman,2007,6,1.5,No,5.9
Saw V,David Hackl,2008,5,1,No,5.8
Saw VI,Kevin Greutert,2009,2,0.5,No,6
Scary Movie,Keenen Ivory Wayans,2000,8,1.5,No,6.2
Scary Movie 2,Keenen Ivory Wayans,2001,8,1.5,Yes,5.3
Scary Stories to Tell in the Dark,André Øvredal,2019,8,3,No,6.2
Scream,Wes Craven,1996,19,3.5,No,7.2
Scream 2,Wes Craven,1997,19,4,No,6.2
Scream 3,Wes Craven,2000,23,4,No,5.5
Scream 4,Wes Craven,2011,18,3.5,Yes,6.1
Searching,Aneesh Chaganty,2018,0,0,No,7.7
Secret Window,David Koepp,2004,10,2,No,6.6
Session 9,Brad Anderson,2001,0,0,No,6.4
Seven,David Fincher,1995,1,0.5,No,8.6
Shaun of the Dead,Edgar Wright,2004,13,2.5,No,7.9
"Shining, The",Stanley Kubrick,1980,3,0.5,Yes,8.4
Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom",2004,11,4,Yes,7.1
Shutter Island,Martin Scorsese,2010,9,2,No,8.1
Signs,M. Night Shyamalan,2002,8,2,No,6.7
"Silence of the Lambs, The",Jonathan Demme,1991,0,0,No,8.6
Silent Hill,Christophe Gans,2006,7,1.5,No,6.5
Silent Hill: Revelation,Michael J. Bassett,2012,22,4,No,5
Silver Bullet,Dan Attias,1985,15,3,No,6.4
Sinister,Scott Derrickson,2012,17,5,No,6.8
Sinister 2,Ciarán Foy,2015,19,4,No,5.3
"Sixth Sense, The",M. Night Shyamalan,1999,8,1.5,Yes,8.1
"Skeleton Key, The",Iain Softley,2005,11,3,No,6.5
Sleepaway Camp,Robert Hiltzik,1983,6,1.5,No,6.3
Sleepy Hollow,Tim Burton,1999,1,0.5,No,7.3
Slender Man,Sylvain White,2018,15,3.5,No,3.2
Slither,James Gunn,2006,10,3,No,6.4
Slumber,Jonathan Hopkins,2017,12,3,No,4.6
Species,Roger Donaldson,1995,7,3,No,5.8
Sphere,Barry Levinson,1998,4,1,No,6.1
Splinter,Toby Wilkins,2008,10,3,No,6.1
Split,M. Night Shyamalan,2016,3,0.5,No,7.3
Spring,"Justin Benson, Aaron Moorhead",2014,1,0.5,No,6.7
Stake Land,Jim Mickle,2010,1,0.5,No,6.5
Starry Eyes,"Kevin Kolsch, Dennis Widmyer",2014,9,2,No,6
Stephanie,Akiva Goldsman,2017,18,3,Yes,5.8
Stir of Echoes,David Koepp,1999,9,3,No,7
"Strangers, The",Bryan Bertino,2008,16,4.5,No,6.2
Summer of 84,"Anouk Whissell, François Simard, Yoann-Karl Whissell",2018,19,4,No,6.7
Sunshine,Danny Boyle,2007,6,1.5,No,7.2
Super 8,J.J. Abrams,2011,15,3.5,No,7
Suspiria,Dario Argento,1977,6,1.5,No,7.4
"Tale of Two Sisters, A",Jee-woon Kim,2003,14,3,No,7.2
Tales of Halloween,Various Directors,2015,14,3,Yes,5.5
Terrifier,Damien Leone,2017,18,3.5,Yes,5.6
Texas Chainsaw 3D,John Luessenhop,2013,14,3,No,4.8
"Texas Chainsaw Massacre, The",Tobe Hooper,1974,2,1,No,7.5
"Texas Chainsaw Massacre, The",Marcus Nispel,2003,16,3,No,6.2
"Texas Chainsaw Massacre: The Beginning, The",Jonathan Liebesman,2006,17,3.5,Yes,5.8
The 9th Life of Louis Drax,Alexandre Aja,2016,4,1,No,6.3
The Atticus Institute,Chris Sparling,2015,13,3.5,No,5.5
The Autopsy of Jane Doe,André Øvredal,2016,12,3,Yes,6.8
The Babysitter,McG,2017,8,2.5,Yes,6.3
The Belko Experiment,Greg McLean,2016,8,2.5,No,6.1
The Blackcoat's Daughter,Osgood Perkins,2015,3,0.5,No,5.9
The Borderlands (Final Prayer),Elliot Goldner,2013,12,3,No,5.7
The Boy,Craig Macneill,2015,1,0.5,No,5.4
The Boy,William Brent Bell,2016,11,3,Yes,6
The Burning,Tony Maylam,1981,21,4,No,6.4
The Butterfly Effect,"Eric Bress, J. Mackye Gruber",2004,4,1,No,7.6
The Bye Bye Man,Stacy Title,2017,13,3,No,4.3
The Canal,Ivan Kavanagh,2014,4,2,No,5.9
